rpt_type_name,title,organ_name,author_name,create_date
行业点评,新春贺岁，黄金珠宝消费有望迎来兔年开门红——黄金珠宝春节消费专题,申万宏源证券,"赵令伊,曹敦鑫",2023-01-13
行业点评,批零贸易业：深圳拟发育儿补贴，多地政策频落地,国泰君安,"刘越男,陈笑",2023-01-11
行业点评,黄金珠宝行业行业研究：看好黄金珠宝23年修复弹性、重点关注镶嵌类公司,国金证券,"罗晓婷,蔡昕妤",2023-01-08
行业点评,商贸零售行业跟踪报告：“过峰”：各城市烟火气逐步回归，期待春天,华创证券,王薇娜,2023-01-08
行业点评,地产政策持续发力，消费建材改善可期：商贸零售周报,莫尼塔,"黄天天,张嘉树,崔晓静",2023-01-08
行业策略,零售市场渐回温，打响复苏第一枪：零售行业周报,财通证券,"于健,李跃博",2023-01-08
行业点评,商贸零售行业点评报告：免税数据跟踪周报（2023年第2周）：元旦过后赴岛游客继续回升，线上折扣相对企稳,东吴证券,"吴劲草,石旖瑄",2023-01-09
行业点评,商贸零售行业跟踪周报：粉笔港股上市，关注职教投资机会,东吴证券,"吴劲草,石旖瑄,张家璇,谭志千,阳靖",2023-01-09
行业点评,商贸零售行业周报（20230102－20230108）：线下消费场景逐步复苏，商贸零售板块有望受益,华通证券国际,,2023-01-08
行业点评,综合零售行业报告：名创优品，自有品牌综合零售龙头，后疫情时期海外复苏强劲,天风证券,"孔蓉,吴立,曹睿",2022-12-30
行业点评,商贸零售行业跟踪周报：关于深化现代职业教育体系建设改革的意见出炉，关注民办高教和职教投资机会,东吴证券,"吴劲草,石旖瑄,张家璇,谭志千,阳靖",2022-12-25
行业策略,紧抓消费内生结构性变化，聚焦高成长优质赛道——2023年新零售行业投资策略报告,国元证券,"徐偲,许元琨",2022-12-23
行业点评,行业处于快速发展期，发展空间广阔――直播电商行业专题报告,渤海证券,姚磊,2022-12-23
行业点评,受益于利好政策，家电需求有望集中释放：商贸零售周报,莫尼塔,"黄天天,张嘉树,崔晓静",2022-12-25
行业点评,扩内需促消费，平台企业再获支持——行业周报（20221219－1223）,上海证券,"彭毅,张洪乐",2022-12-26
行业点评,商贸零售行业点评报告：免税数据跟踪周报（2022年第52周）：赴岛游客回升中，年末线上营销活动折扣波动加大,东吴证券,"吴劲草,石旖瑄",2022-12-27
深度研究,Pandora——高盈利、高周转的快时尚类珠宝龙头：珠宝行业海外对标研究系列报告（三）,招商证券,"刘丽,赵中平,宋盈盈",2022-12-27
行业点评,如何展望出境游恢复后的免税行业,东吴证券,"吴劲草,石旖瑄,张家璇,谭志千,阳靖",2022-12-28
行业点评,商贸零售行业：防疫优化节奏超预期，消费复苏或更快到来,广发证券,"洪涛,嵇文欣",2022-12-28
行业点评,商贸零售行业点评报告：出行复苏数据跟踪周报（2022年第52周）：短途长途出行均进入底部区间,东吴证券,"吴劲草,石旖瑄",2022-12-28
行业点评,商业贸易：过去三年的线下场景，哪些公司在快速开店？,海通证券,"汪立亭,李宏科,高瑜,毛弘毅,王祎婕",2022-12-29
行业点评,商业贸易：元旦复苏态势显著，关注2021消费新趋势,天风证券,刘章明,2021-01-05
行业点评,商业贸易行业周报（第五十三周）,华泰证券,"林寰宇,张诗宇",2021-01-04
行业点评,商业贸易行业：复盘美国科技巨头，思考中国反垄断影响,东方证券,"施红梅,崔凡平",2021-01-04
行业点评,东海证券：商业贸易行业周报2020.12.28－2020.12.31,东海证券,"江迎若,张季恺",2021-01-04
行业点评,零研月报：11月多数品类表现疲弱，白酒延续高增,中金,"陈文博,方云朋,余驰,周悦琅",2021-01-04
行业点评,商业贸易：跨境电商增长迅猛，坚定推荐【安克创新】,天风证券,"刘章明,吴慧迪",2021-01-08
行业策略,商贸零售行业月度投资策略：商务部鼓励网订店送式消费，进一步推动商超线上化运营,山西证券,谷茜,2021-01-06
行业点评,商业贸易：直播电商迅猛增长，各平台纷纷入局,海通证券,"汪立亭,李宏科,高瑜",2020-01-05
行业点评,中小市值票短期机会更大——零售行业周报第320期（2019.12.30－2020.01.03）,光大证券,"唐佳睿,孙路",2020-01-05
行业点评,零售行业：优质零售企业注重展店扩张，维持推荐核心标的,银河证券,李昂,2020-01-05
行业点评,东海证券：商业贸易行业周报2019.12.30－2020.01.03,东海证券,"江迎若,张季恺",2020-01-03
行业点评,商业贸易行业：直播电商爆红的背后，关于逻辑、现状、趋势的思考,广发证券,洪涛,2020-01-02
行业点评,批发零售业：金价涨、消费稳，行业回暖龙头更优——黄金珠宝行业专题报告,国泰君安,"訾猛,陈彦辛",2020-01-07
行业点评,商业贸易行业：零售人2020年信心指数调查，求稳最重要,诚通证券,陈文倩,2020-01-06
行业点评,网红经济利好品牌变革，金价上行提振珠宝估值——商贸零售周报,国泰君安,"訾猛,陈彦辛",2020-01-05
深度研究,商贸零售：存量格局下，自有品牌建立竞争优势,华金证券,"王冯,吴雨舟",2019-01-02
行业点评,零售业行业：生鲜系列专题之每日优鲜：精选“优”品，暗仓保“鲜”,长江证券,"李锦,陈亮,刘亚舟",2019-01-01
行业点评,兴证零售每周观点：自下而上选择主业向上的标的，首选永辉超市,兴业证券,"王俊杰,金秋",2019-01-01
行业点评,批发零售业：生鲜B2B行业专题研究——供给提效，生鲜B2B百舸争流,国泰君安,"訾猛,张睿,彭瑛",2019-01-01
行业点评,商业贸易：苏宁、永辉入局社区团购，争抢社区团购的裂变式流量,中泰证券,彭毅,2019-01-01
